Time,Main_Ped_Sens, Pot,Pot Modified,Ped Normalised,Pot Normalised,,,We proved that both 
1,327,465,465,0.001686341,0.02962963,,,
2,327,465,465,0.001686341,0.02962963,,,
3,327,465,465,0.001686341,0.02962963,,,
4,327,465,465,0.001686341,0.02962963,,,
5,327,465,465,0.001686341,0.02962963,,,
6,327,465,465,0.001686341,0.02962963,,,
7,328,465,465,0.003372681,0.02962963,,,
8,327,465,465,0.001686341,0.02962963,,,
9,327,465,465,0.001686341,0.02962963,,,
10,327,465,465,0.001686341,0.02962963,,,
11,327,465,465,0.001686341,0.02962963,,,
12,327,465,465,0.001686341,0.02962963,,,
13,327,465,465,0.001686341,0.02962963,,,
14,327,465,465,0.001686341,0.02962963,,,
15,328,465,465,0.003372681,0.02962963,,,
16,327,465,465,0.001686341,0.02962963,,,
17,327,465,465,0.001686341,0.02962963,,,
18,327,465,465,0.001686341,0.02962963,,,
19,327,465,465,0.001686341,0.02962963,,,
20,327,465,465,0.001686341,0.02962963,,,
21,327,465,465,0.001686341,0.02962963,,,
22,327,465,465,0.001686341,0.02962963,,,
23,327,465,465,0.001686341,0.02962963,,,
24,327,465,465,0.001686341,0.02962963,,,
25,327,465,465,0.001686341,0.02962963,,,
26,327,465,465,0.001686341,0.02962963,,,
27,327,465,465,0.001686341,0.02962963,,,
28,327,465,465,0.001686341,0.02962963,,,
29,327,465,465,0.001686341,0.02962963,,,
30,327,465,465,0.001686341,0.02962963,,,
31,327,465,465,0.001686341,0.02962963,,,
32,327,465,465,0.001686341,0.02962963,,,
33,327,465,465,0.001686341,0.02962963,,,
34,327,465,465,0.001686341,0.02962963,,,
35,327,465,465,0.001686341,0.02962963,,,
36,327,465,465,0.001686341,0.02962963,,,
37,327,465,465,0.001686341,0.02962963,,,
38,327,465,465,0.001686341,0.02962963,,,
39,327,465,465,0.001686341,0.02962963,,,
40,327,465,465,0.001686341,0.02962963,,,
41,327,465,465,0.001686341,0.02962963,,,
42,327,465,465,0.001686341,0.02962963,,,
43,327,465,465,0.001686341,0.02962963,,,
44,327,465,465,0.001686341,0.02962963,,,
45,327,465,465,0.001686341,0.02962963,,,
46,327,465,465,0.001686341,0.02962963,,,
47,328,465,465,0.003372681,0.02962963,,,
48,327,465,465,0.001686341,0.02962963,,,
49,327,465,465,0.001686341,0.02962963,,,
50,327,465,465,0.001686341,0.02962963,,,
