x (arbitrary),Main_Ped_Sens, Pot
1,327,465
2,327,465
3,327,465
4,327,465
5,327,465
6,327,465
7,328,465
8,327,465
9,327,465
10,327,465
11,327,465
12,327,465
13,327,465
14,327,465
15,328,465
16,327,465
17,327,465
18,327,465
19,327,465
20,327,465
21,327,465
22,327,465
23,327,465
24,327,465
25,327,465
26,327,465
27,327,465
28,327,465
29,327,465
30,327,465
31,327,465
32,327,465
33,327,465
34,327,465
35,327,465
36,327,465
37,327,465
38,327,465
39,327,465
40,327,465
41,327,465
42,327,465
43,327,465
44,327,465
45,327,465
46,327,465
47,328,465
48,327,465
49,327,465
50,327,465
51,327,465
52,327,465
53,327,465
54,327,465
55,327,465
56,327,465
57,327,465
58,327,465
59,327,465
60,327,465
61,327,465
62,327,465
63,327,465
64,327,465
65,327,465
66,327,465
67,327,465
68,327,465
69,327,465
70,327,465
71,327,465
72,327,465
73,327,465
74,327,465
75,327,465
76,327,465
77,327,465
78,327,465
79,327,465
80,327,465
81,327,465
82,327,465
83,327,465
84,327,465
85,327,465
86,327,465
87,327,465
88,327,465
89,327,465
90,327,465
91,327,465
92,328,465
93,327,465
94,327,465
95,327,465
96,327,465
97,328,465
98,327,465
99,327,465
100,327,465
101,327,465
102,327,465
103,327,465
104,327,466
105,327,465
106,327,465
107,327,465
108,327,465
109,327,465
110,327,465
111,327,465
112,327,465
113,327,465
114,327,465
115,327,465
116,327,465
117,327,465
118,327,465
119,327,465
120,327,465
121,327,465
122,327,465
123,327,465
124,327,465
125,327,465
126,327,465
127,327,465
128,327,465
129,327,465
130,327,465
131,327,465
132,327,465
133,327,465
134,327,465
135,327,465
136,327,465
137,327,465
138,327,465
139,327,465
140,327,465
141,327,465
142,327,465
143,327,465
144,327,465
145,327,465
146,327,465
147,327,465
148,327,465
149,327,465
150,327,465
151,327,465
152,327,465
153,327,465
154,327,465
155,327,465
156,327,465
157,327,465
158,327,465
159,327,464
160,328,465
161,327,465
162,327,465
163,327,465
164,327,465
165,327,465
166,327,465
167,327,465
168,327,465
169,327,465
170,327,465
171,327,465
172,327,465
173,327,465
174,327,465
175,327,465
176,327,465
177,327,465
178,327,465
179,327,465
180,327,465
181,327,465
182,327,465
183,327,465
184,327,465
185,327,465
186,327,465
187,327,465
188,327,465
189,327,465
190,327,465
191,327,465
192,327,465
193,327,465
194,327,465
195,327,465
196,328,465
197,328,465
198,327,465
199,327,465
200,327,465
201,327,465
202,327,465
203,327,465
204,327,465
205,327,465
206,327,465
207,327,465
208,327,465
209,327,465
210,327,465
211,327,465
212,327,465
213,327,465
214,327,465
215,327,465
216,327,465
217,327,465
218,327,465
219,328,465
220,327,465
221,327,465
222,328,465
223,327,465
224,327,465
225,327,465
226,327,465
227,327,465
228,327,465
229,327,465
230,327,465
231,327,465
232,327,465
233,327,465
234,327,465
235,327,465
236,327,465
237,327,465
238,327,465
239,327,465
240,327,464
241,327,465
242,327,465
243,327,465
244,327,465
245,327,465
246,327,465
247,327,465
248,327,465
249,327,465
250,327,465
251,327,465
252,327,465
253,327,464
254,327,465
255,327,465
256,327,465
257,327,465
258,327,465
259,327,465
260,327,465
261,327,465
262,327,465
263,327,465
264,327,465
265,327,465
266,327,465
267,327,464
268,327,464
269,327,465
270,327,465
271,327,465
272,327,464
273,327,464
274,327,464
275,327,464
276,327,465
277,327,464
278,327,464
279,327,464
280,327,464
281,327,464
282,327,464
283,327,464
284,327,464
285,327,464
286,327,464
287,327,464
288,327,464
289,327,464
290,329,464
291,329,464
292,330,464
293,329,464
294,330,464
295,330,464
296,330,464
297,331,464
298,332,464
299,332,464
300,332,464
301,333,463
302,333,463
303,334,463
304,335,463
305,335,463
306,337,463
307,338,463
308,338,463
309,339,462
310,340,462
311,341,462
312,343,462
313,344,461
314,345,462
315,346,461
316,347,461
317,349,461
318,350,460
319,352,460
320,354,460
321,357,459
322,359,458
323,362,457
324,365,457
325,368,456
326,372,456
327,375,455
328,379,455
329,382,454
