Time,Pedal Position Reading,PWM
0,869,0
0,869,0
0,869,0
1,868,0
1,866,0
2,865,0
2,865,0
3,864,0
3,863,0
5,863,0
7,863,0
9,862,0
11,863,0
13,863,0
15,863,0
17,863,0
19,863,0
21,863,0
23,863,0
25,863,0
27,862,0
29,863,0
31,863,0
33,863,0
35,864,0
37,863,0
39,863,0
41,863,0
44,863,0
46,863,0
48,863,0
50,863,0
52,862,0
54,863,0
56,863,0
58,863,0
60,863,0
62,863,0
64,863,0
66,863,0
68,863,0
69,863,0
71,863,0
73,862,0
75,862,0
77,863,0
79,863,0
81,863,0
83,863,0
86,863,0
88,863,0
90,863,0
92,863,0
94,863,0
96,863,0
98,863,0
100,863,63
103,864,63
105,863,63
107,863,63
110,864,63
112,862,63
114,861,63
117,860,63
119,859,63
121,857,63
124,855,63
126,852,63
129,850,63
132,848,63
134,846,63
136,844,63
139,842,63
141,839,63
143,837,63
146,834,63
148,833,63
150,830,-63
153,827,-63
155,825,-63
158,822,-63
160,821,-63
163,821,-63
165,820,-63
168,822,-63
171,822,-63
174,823,-63
176,824,-63
179,825,-63
181,827,-63
184,828,-63
186,829,-63
189,831,-63
191,833,-63
194,834,-63
196,836,-63
199,838,-63
201,839,94
203,842,94
206,843,94
208,844,94
210,844,94
214,844,94
216,843,94
218,842,94
221,841,94
223,838,94
225,836,94
228,833,94
230,830,94
232,827,94
235,824,94
237,820,94
239,817,94
242,813,94
244,810,94
246,806,94
248,802,94
251,799,-94
253,794,-94
257,791,-94
259,787,-94
262,787,-94
264,785,-94
267,785,-94
269,786,-94
272,787,-94
274,789,-94
277,791,-94
279,794,-94
282,796,-94
284,799,-94
287,801,-94
289,805,-94
292,808,-94
294,811,-94
297,814,-94
300,816,-94
303,820,75
305,823,75
307,826,75
310,828,75
312,828,75
314,830,75
317,830,75
319,829,75
321,828,75
324,827,75
326,825,75
328,824,75
330,821,75
333,820,75
335,817,75
337,815,75
340,812,75
343,809,75
345,806,75
348,804,75
350,800,75
352,798,75
355,795,-75
357,791,-75
360,790,-75
362,786,-75
365,784,-75
367,784,-75
370,785,-75
372,785,-75
375,786,-75
377,787,-75
380,789,-75
382,790,-75
386,792,-75
388,794,-75
391,797,-75
393,799,-75
396,801,-75
398,804,-75
401,806,-75
403,808,34
405,810,34
408,812,34
410,814,34
412,815,34
415,816,34
417,816,34
419,815,34
422,814,34
424,814,34
427,814,34
430,813,34
432,813,34
434,812,34
437,812,34
439,810,34
441,809,34
444,808,34
446,807,34
448,806,34
451,804,34
453,803,-34
455,801,-34
458,800,-34
460,799,-34
463,799,-34
465,799,-34
468,798,-34
471,799,-34
474,799,-34
476,800,-34
479,800,-34
481,800,-34
484,800,-34
486,800,-34
489,800,-34
491,800,-34
494,801,-34
496,801,-34
499,802,-34
501,802,-34
504,803,82
506,804,82
508,804,82
512,805,82
514,805,82
516,804,82
519,803,82
521,802,82
523,800,82
526,798,82
528,795,82
530,792,82
533,789,82
535,787,82
537,784,82
540,781,82
542,778,82
544,775,82
547,771,82
549,768,82
551,765,82
553,761,82
557,758,-82
559,754,-82
562,751,-82
564,748,-82
567,746,-82
569,745,-82
572,746,-82
574,746,-82
577,749,-82
579,749,-82
582,751,-82
584,754,-82
587,756,-82
589,758,-82
592,761,-82
594,764,-82
598,767,-82
600,769,-82
603,772,-82
605,774,1
607,777,1
609,779,1
612,781,1
614,782,1
616,784,1
618,785,1
620,785,1
622,785,1
625,785,1
627,785,1
629,784,1
631,785,1
633,785,1
635,785,1
637,785,1
641,785,1
643,785,1
645,785,1
647,785,1
649,785,1
651,785,1
654,785,1
656,785,-1
658,784,-1
660,785,-1
663,786,-1
665,786,-1
667,785,-1
670,786,-1
672,785,-1
674,785,-1
677,786,-1
679,785,-1
681,785,-1
685,785,-1
687,785,-1
689,785,-1
692,785,-1
694,785,-1
696,785,-1
699,785,-1
701,785,-1
703,785,-1
706,785,96
708,786,96
710,785,96
713,785,96
715,785,96
717,784,96
720,783,96
722,782,96
724,780,96
727,777,96
730,774,96
732,770,96
734,767,96
737,765,96
739,760,96
741,757,96
744,752,96
746,748,96
748,745,96
751,741,96
753,737,96
755,733,96
758,730,-96
760,725,-96
763,720,-96
765,716,-96
769,715,-96
771,714,-96
774,715,-96
776,715,-96
779,716,-96
781,718,-96
784,721,-96
786,724,-96
789,727,-96
791,730,-96
794,733,-96
796,737,-96
799,740,-96
801,744,-96
804,746,-96
806,749,20
808,753,20
812,756,20
814,759,20
816,761,20
819,762,20
821,762,20
823,762,20
826,762,20
828,762,20
830,762,20
833,761,20
835,761,20
837,761,20
840,761,20
842,760,20
844,760,20
847,759,20
849,759,20
851,758,20
854,758,20
857,758,-20
859,757,-20
862,756,-20
864,755,-20
867,755,-20
869,755,-20
872,755,-20
874,755,-20
877,755,-20
879,755,-20
882,755,-20
884,755,-20
887,755,-20
889,755,-20
892,756,-20
894,755,-20
898,756,-20
900,756,-20
903,755,-20
905,756,-20
908,756,25
910,756,25
912,756,25
915,756,25
917,756,25
919,755,25
922,755,25
924,755,25
926,754,25
929,753,25
931,752,25
933,752,25
936,751,25
939,750,25
941,749,25
943,748,25
946,747,25
948,746,25
950,745,25
953,744,25
955,744,25
957,742,25
960,742,-25
962,740,-25
965,739,-25
967,738,-25
970,737,-25
972,739,-25
975,738,-25
977,738,-25
980,738,-25
983,738,-25
986,738,-25
988,738,-25
991,739,-25
993,739,-25
996,739,-25
998,739,-25
1001,739,-25
1003,739,-25
1006,739,-25
1009,740,5
1011,740,5
1013,739,5
1016,740,5
1018,740,5
1020,741,5
1024,740,5
1026,740,5
1028,739,5
1030,739,5
1033,739,5
1035,740,5
1037,740,5
1040,740,5
1042,739,5
1044,739,5
1047,739,5
1049,739,5
1051,738,5
1054,738,5
1056,738,5
1058,738,5
1061,738,-5
1063,738,-5
1067,738,-5
1069,738,-5
1072,738,-5
1074,738,-5
1077,739,-5
1079,738,-5
1082,739,-5
1084,738,-5
1087,738,-5
1089,738,-5
1092,738,-5
1094,738,-5
1097,738,-5
1099,738,-5
1102,738,-5
1104,738,-5
1107,738,-5
1110,737,19
1113,738,19
1115,738,19
1117,738,19
1120,738,19
1122,738,19
1125,737,19
1127,737,19
1130,737,19
1132,736,19
1135,735,19
1137,735,19
1140,734,19
1142,733,19
1145,733,19
1147,732,19
1150,731,19
1153,731,19
1156,730,19
1158,729,19
1161,728,-19
1163,727,-19
1166,726,-19
1169,725,-19
1171,725,-19
1174,726,-19
1177,726,-19
1179,726,-19
1182,726,-19
1185,725,-19
1187,726,-19
1190,725,-19
1193,726,-19
1196,726,-19
1199,727,-19
1202,727,-19
1204,726,-19
1207,726,-19
1210,726,97
1212,727,97
1215,726,97
1217,726,97
1220,727,97
1222,726,97
1225,723,97
1227,721,97
1230,717,97
1232,713,97
1235,709,97
1238,705,97
1241,702,97
1243,697,97
1245,693,97
1248,688,97
1250,684,97
1253,680,97
1255,675,97
1258,671,97
1260,667,-97
1263,661,-97
1266,658,-97
1268,654,-97
1271,651,-97
1274,651,-97
1276,652,-97
1280,653,-97
1283,656,-97
1285,659,-97
1288,662,-97
1291,666,-97
1293,669,-97
1296,673,-97
1299,676,-97
1301,681,-97
1304,684,-97
1307,687,-97
1309,691,-97
1312,694,99
1314,699,99
1317,704,99
1319,705,99
1323,706,99
1325,706,99
1328,706,99
1330,703,99
1333,701,99
1335,697,99
1338,694,99
1340,690,99
1343,687,99
1345,683,99
1348,679,99
1350,673,99
1353,669,99
1355,665,99
1358,661,99
1360,656,99
1363,652,-99
1366,646,-99
1369,641,-99
1372,638,-99
1374,636,-99
1377,635,-99
1380,637,-99
1382,637,-99
1385,639,-99
1388,641,-99
1390,644,-99
1393,648,-99
1396,652,-99
1398,656,-99
1401,659,-99
1404,664,-99
1406,667,-99
1410,671,-99
1413,675,78
1415,679,78
1418,682,78
1420,685,78
1422,687,78
1425,687,78
1427,687,78
1430,685,78
1432,683,78
1435,681,78
1437,679,78
1440,677,78
1442,673,78
1445,671,78
1447,668,78
1451,663,78
1453,659,78
1456,656,78
1458,654,78
1461,650,78
1463,646,-78
1466,642,-78
1469,637,-78
1471,635,-78
1474,633,-78
1477,633,-78
1479,634,-78
1482,634,-78
1485,636,-78
1487,637,-78
1490,640,-78
1494,643,-78
1496,645,-78
1499,649,-78
1502,651,-78
1504,654,-78
1507,657,-78
1509,659,-78
1512,663,-78
1515,666,83
1517,669,83
1520,671,83
1522,673,83
1525,674,83
1527,673,83
